ID,英文名詞,中文名詞,審譯日期,更新日期
21383271,failure wedge,坍塌楔块；崩塌楔块,114.07.31,2025-11-13
21383272,fall cone method,落锥法｛液限试验｝,114.08.22,2026-04-30
21383273,falling cone method,落锥法｛液限试验｝,114.08.22,2026-04-30
21383274,falling head permeability test,变水头试验,114.08.22,2025-11-13
21383275,fault,断层；接缝高差,113.04.25,2025-11-13
21383276,fault breccia,断层角砾岩,114.08.22,2025-11-13
21383277,fault creep,断层潜移；断层蠕动,114.08.22,2025-11-13
21383278,fault displacement,断层位移,114.08.22,2025-11-13
21383279,fault gouge,断层泥,114.08.22,2025-11-13
21383280,fault zone,断层带,114.08.22,2025-11-13
21383281,feasibility,可行性,114.08.22,2025-11-13
21383282,feasibility assessment,可行性评估,114.08.22,2025-11-13
21383283,feasibility design,可行性设计,114.08.22,2025-11-13
21383284,feeler inspection,探隙检测,114.08.22,2025-11-13
21383285,feldspar porphyry dyke,长石斑岩脉,114.08.22,2025-11-13
21383286,Fellenius method of slices,费伦尼斯切片法,114.08.22,2025-11-13
21383287,fen,泥炭质沼泽,114.08.22,2025-11-13
21383288,fence diagram,栅状图,114.08.22,2025-11-13
21383289,fencing,围篱；围栏,114.08.22,2025-11-13
21383290,fender,防护垫,114.08.22,2025-11-13
21383291,fender pile,防护桩,114.08.22,2025-11-13
21383292,fendering system,护舷系统,114.08.22,2025-11-13
21383293,Ferret's triangle,菲瑞特三角图,114.08.22,2026-04-30
21383294,ferrihydrite,褐铁矿；水合氧化铁,114.08.22,2025-11-13
21383295,fetch length,风浪作用距离,114.08.22,2025-11-13
21383296,fibrous soil,纤维质土壤,114.08.22,2025-11-13
21383297,field bearing test,现地承载力试验,114.08.22,2025-11-13
21383298,field book,野外手簿；野帐本,114.08.22,2025-11-13
21383299,field data,野外资料,114.08.22,2025-11-13
21383300,field inspection,野外检测,114.08.22,2025-11-13
21383301,field loading test,现地荷载试验,114.08.22,2025-11-13
21383302,field measurement,现地量测,114.08.22,2025-11-13
21383303,field moisture equivalent,工地湿当量；现地含水当量,114.08.22,2025-11-13
21383304,field recompression curve,现地再压缩曲线,114.08.22,2025-11-13
21383305,field seepage test,现地渗透试验,113.04.19,2025-11-13
21383306,field survey,野外测量；野外勘测,114.08.22,2025-11-13
21383307,field test,现地试验,114.08.22,2025-11-13
21383308,field vane shear test,现地记录表,114.08.22,2025-11-13
21383309,field vane test,现地十字片剪试验,114.08.22,2025-11-13
21383310,fill,填方；填土,114.08.22,2025-11-13
21383311,fill material,填方材料；填土材料,114.08.22,2025-11-13
21383312,fill resources,填料资源,114.08.22,2025-11-13
21383313,fill slope,填坡；回填坡,114.08.22,2025-11-13
21383314,fill source,填料来源,114.08.22,2025-11-13
21383315,fill structure,填土结构；填筑结构,114.08.22,2025-11-13
21383316,filling,夹心｛岩石力学｝,113.04.25,2026-04-30
21383317,filter,滤层；过滤器,114.08.22,2025-11-13
21383318,filter bedding stone,滤层石,113.04.25,2025-11-13
21383319,filter blanket,过滤铺层；过滤护毯,114.08.22,2025-11-13
21383320,filter mat,滤垫,114.08.22,2025-11-13
21383321,filter paper drain,滤纸排水,114.08.22,2025-11-13
21383322,final penetration,最终贯入度,114.08.22,2025-11-13
21383323,final settlement,最终沉陷量,114.08.22,2025-11-13
21383324,fine gravel,细砾,114.08.22,2025-11-13
21383325,fine sand,细砂,113.04.19,2025-11-13
21383326,fine-grained soil,细粒土,113.04.19,2025-11-13
21383327,finger pier,突堤码头,114.08.22,2025-11-13
21383328,finite element method (FEM),有限元素法,114.08.22,2025-11-13
21383329,fishing tool,捞具｛钻探工程｝,113.04.25,2026-04-30
21383330,fissure,裂隙,114.08.22,2025-11-13
21383331,fissured clay,裂隙黏土,113.05.22,2025-11-13
21383332,fixed boundary condition,固定边界条件,114.08.22,2025-11-13
21383333,fixed piston sampler,固定活塞取样器,114.08.22,2025-11-13
21383334,fixed-ring consolidometer,固定环式压密仪,114.08.22,2025-11-13
21383335,flaky constituent,片状成分,114.08.22,2025-11-13
21383336,flame cleaning,火焰清理,114.08.22,2025-11-13
21383337,flammable liquid,易燃液体,113.11.26,2025-11-13
21383338,flat dilatometer,平板膨胀仪,114.08.22,2025-11-13
21383339,flat jack,平板千斤顶,114.08.22,2025-11-13
21383340,flexible conduit,柔性管道,114.08.22,2025-11-13
21383341,flexible retaining structure,柔性支撑结构；柔性挡土结构,114.08.22,2025-11-13
21383342,flexure,挠曲,114.08.22,2025-11-13
21383343,floating crane,浮吊；浮式起重机,114.08.22,2025-11-13
21383344,floc,絮凝物；胶羽,113.04.25,2025-11-13
21383345,flocculation,絮凝；胶凝作用,113.04.25,2025-11-13
21383346,flocculent structure,絮凝结构；飞絮状结构,113.04.25,2025-11-13
21383347,flow channel,水流渠道；流槽,114.01.13,2025-11-13
21383348,flow curve,流性曲线,113.04.25,2025-11-13
21383349,flow failure,流动型破坏,113.04.25,2025-11-13
21383350,flow function,流函数,113.04.25,2025-11-13
21383351,flow index,流性指数,113.04.25,2025-11-13
21383352,flow net,流网,113.04.25,2025-11-13
21383353,flow velocity,流速,113.04.25,2025-11-13
21383354,flowing ground,流动性地盘,113.04.25,2025-11-13
21383355,fluidifier,流化剂,113.04.25,2025-11-13
21383356,flush joint,平接头,113.04.25,2025-11-13
21383357,fluvial deposit,河流堆积,113.04.19,2025-11-13
21383358,foliation,叶理,113.04.25,2025-11-13
21383359,footing,基脚,113.04.19,2025-11-13
21383360,footwall,下盘｛地质｝,113.04.25,2026-04-30
21383361,forced oscillation,强制振荡,113.04.25,2025-11-13
21383362,forced vibration,强制振动,113.04.25,2025-11-13
21383363,forepoling,矢板工法；插板工法,113.04.25,2025-11-13
21383364,foundation,基础,113.04.19,2025-11-13
21383365,foundation treatment,高压喷射注浆法,113.05.22,2025-11-13
21383366,fracture,破裂；裂隙；断口｛地质｝,113.04.25,2026-04-30
21383367,fracture aperture,隙宽；裂隙宽度,113.07.11,2025-11-13
21383368,fracture frequency,破裂频率,113.04.25,2025-11-13
21383369,fracture pattern,破裂型态,113.04.25,2025-11-13
21383370,fracture width,隙宽；裂隙宽度,113.07.11,2025-11-13
21383371,fracturing,破裂,113.04.25,2025-11-13
21383372,fragmentation,破碎作用；破碎度,113.04.25,2025-11-13
21383373,free vibration,自由振动,113.04.25,2025-11-13
21383374,friable rock,易碎岩石,113.04.25,2025-11-13
21383375,friction pile,摩擦桩,113.04.19,2025-11-13
21383376,frost action,冻融作用,113.04.25,2025-11-13
21383377,frost boil,冻沸,113.04.25,2025-11-13
21383378,frost heave,冻胀,113.04.25,2025-11-13
21383379,gel time,胶凝时间,113.04.25,2025-11-13
21383380,general shear failure,全面剪力破坏,113.05.22,2026-02-12
21383381,geophysical exploration,地球物理探勘,114.01.13,2025-11-13
21383382,geosynthetics,地工合成材；地工聚合物,113.05.22,2026-02-12
21383383,geotextile,地工织物,113.05.22,2025-11-13
21383384,glacial deposit,粒度分析,113.05.22,2025-11-13
21383385,grain size analysis,粒径分析,113.04.25,2025-11-13
21383386,grain size curve,粒径曲线,113.05.22,2025-11-13
21383387,granular material,颗粒材料,113.04.25,2025-11-13
21383388,granule,细砾,113.04.19,2025-11-13
21383389,gravel,砾石；卵砾石,113.04.19,2025-11-13
21383390,gravel pack,砾石填充材,113.04.25,2025-11-13
21383391,gravelly sand,砾砂；砾质砂,113.05.22,2025-11-13
21383392,gravelly soil,砾质土,113.05.22,2025-11-13
21383393,gravity grouting,重力灌浆,113.04.25,2025-11-13
21383394,groin,丁坝,113.04.25,2025-11-13
21383395,ground anchor,地锚,115.02.26,2026-03-03
21383396,ground arch,地拱,113.04.25,2025-11-13
21383397,ground treatment,地盘处理,113.05.22,2025-11-13
21383398,groundwater,地下水,113.05.22,2025-11-13
21383399,groundwater barrier,地下水障壁,113.04.25,2025-11-13
21383400,groundwater discharge,地下水流量,113.04.25,2025-11-13
21383401,groundwater elevation,地下水高程,113.04.25,2025-11-13
21383402,groundwater level,地下水位,113.04.25,2025-11-13
21383403,groundwater surface,地下水面,113.04.25,2025-11-13
21383404,group pile,群桩,113.05.22,2025-11-13
21383405,grout cap,灌浆帽,113.04.25,2025-11-13
21383406,grout gallery,灌浆廊道,113.04.25,2025-11-13
21383407,grout mix,灌浆料,113.04.25,2025-11-13
21383408,grout system,灌浆系统,113.04.25,2025-11-13
21383409,grout take,吃浆量；耗浆量,113.04.25,2025-11-13
21383410,groutability,可灌性,113.04.25,2025-11-13
21383411,grouted aggregate concrete,粒料灌浆混凝土,113.04.25,2025-11-13
21383412,hanging wall,上盘｛地质｝,113.04.25,2026-04-30
21383413,hardpan,硬土盘,113.04.25,2025-11-13
21383414,high pressure jet grouting,高压喷射灌浆法,113.05.22,2025-11-13
21383415,hydraulic fracturing,水力破裂,113.05.22,2025-11-13
21383416,hydraulic ram pile driver,液压式冲锤打桩机,113.07.11,2026-04-30
21383417,hypocenter,震源,114.05.21,2025-11-13
21383418,illite,伊利石,113.05.22,2025-11-13
21383419,initial compression,初期压缩,113.04.25,2025-11-13
21383420,initial consolidation,初期压密,113.04.25,2025-11-13
21383421,initiator,起爆器；起发剂,113.04.25,2025-11-13
21383422,inlet well,集水井,113.11.26,2025-11-13
21383423,in-situ direct shear test,现地直剪试验,113.05.22,2025-11-13
21383424,in-situ test,现地试验,113.05.22,2025-11-13
21383425,inspection,查验；检测,114.07.31,2025-11-13
21383426,internal friction angle,内摩擦角,113.04.19,2025-11-13
21383427,International Association for Engineering Geology and the Environment (IAEG),国际工程地质协会 ,113.06.14,2025-11-13
21383428,investigation,调查｛综合调查｝,114.07.31,2026-04-30
21383429,kaolinite,高岭石；高岭土,113.05.22,2025-11-13
21383430,laboratory soil test,室内土壤试验,113.05.22,2025-11-13
21383431,lacustrine deposit,湖积层；湖泊沉积,113.05.22,2025-11-13
21383432,lateral earth pressure,侧向土压力,113.05.22,2025-11-13
21383433,laterite,红土,113.05.22,2025-11-13
21383434,levee,堤,113.05.22,2025-11-13
21383435,lime soil,石灰质土,113.05.22,2025-11-13
21383436,limit equilibrium analysis,极限平衡分析,113.05.22,2025-11-13
21383437,liquefaction,液化,114.05.21,2025-11-13
21383438,liquid limit,液性限度,113.05.22,2025-11-13
21383439,liquidity index,液性指数,113.05.22,2025-11-13
21383440,local shear failure,局部剪力破坏,113.05.22,2025-11-13
21383441,loess,黄土,113.05.22,2025-11-13
21383442,long-term strength,长期强度,113.05.22,2025-11-13
21383443,medium sand,中砂,113.05.22,2025-11-13
21383444,mica,云母,113.05.22,2025-11-13
21383445,minimum dry density,最小干密度,113.04.25,2025-11-13
21383446,Mohr-Coulomb law,摩尔库仑定律,113.05.22,2025-11-13
21383447,Mohr's envelope,摩尔包络线,113.05.22,2026-04-30
21383448,moist density,湿密度,113.04.25,2025-11-13
21383449,montmorillonite,蒙脱石；蒙脱土,113.05.22,2026-04-30
21383450,non-displacement pile,非打入桩,113.05.22,2025-11-13
21383451,normally consolidated soil,正常压密土,113.05.22,2025-11-13
21383452,oceanic deposit,海洋沉积,113.05.22,2025-11-13
21383453,oedometer test,压密试验,113.04.19,2025-11-13
21383454,oedometric modulus,侧限压密模数,113.05.22,2025-11-13
21383455,offshore deposit,离岸沉积,113.05.22,2025-11-13
21383456,open caisson foundation,开放式沉箱基础,113.05.22,2025-11-13
21383457,organic soil,有机土,113.05.22,2025-11-13
21383458,osmotic pressure,渗透压,113.07.11,2026-04-30
21383459,overburden pressure,覆土压力；覆盖压力,113.05.22,2025-11-13
21383460,overconsolidated soil,过压密土,113.05.22,2025-11-13
21383461,particle density,颗粒密度,113.04.25,2025-11-13
21383462,particle size distribution,粒径分布,113.04.25,2025-11-13
21383463,passive earth pressure,被动土压力,113.05.22,2025-11-13
21383464,peak strength,尖峰强度,113.05.22,2025-11-13
21383465,peat,泥炭,113.04.25,2026-04-30
21383466,pebble,小砾；小卵石,113.04.19,2025-11-13
21383467,percussion boring,冲击钻孔,113.08.22,2025-11-13
21383468,permafrost,永冻土,113.05.22,2025-11-13
21383469,permeability test,渗透试验,113.05.22,2025-11-13
21383470,phreatic surface,自由水面,113.04.25,2025-11-13
21383471,pier foundation,墩基,113.05.22,2025-11-13
21383472,pile cap,桩帽,113.05.22,2025-11-13
21383473,pile end resistance,桩底阻力,114.06.23,2025-11-13
21383474,pile foundation,桩基础；桩基,113.05.22,2025-11-13
21383475,piling dolly,桩垫,114.03.19,2025-11-13
21383476,pipe jacking,推管工法,113.12.03,2025-11-13
21383477,pipe roofing,管幂工法；管幕工法,113.04.25,2025-11-13
21383478,piping,管涌,113.05.22,2025-11-13
21383479,plastic limit,塑性限度,113.05.22,2025-11-13
21383480,plasticity index,塑性指数,113.05.22,2025-11-13
21383481,plate-loading test,平钣载重试验；平板载重试验,113.05.22,2025-11-13
21383482,pneumatic caisson foundation,气动沉箱基础,113.04.19,2025-11-13
21383483,point bearing pile,点承桩,113.05.22,2025-11-13
21383484,pore pressure dissipation,孔隙压力消散,113.05.22,2025-11-13
21383485,pore water pressure,孔隙水压,113.05.22,2025-11-13
21383486,primary consolidation,主要压密,113.05.22,2025-11-13
21383487,Proctor curve,夯实曲线,113.04.25,2025-11-13
21383488,progressive failure,渐进式破坏,113.05.22,2025-11-13
21383489,protective casing,保护套管,113.04.25,2025-11-13
21383490,protective filter,保护滤层,113.04.25,2025-11-13
21383491,punching shear failure,贯穿剪力破坏,113.05.22,2026-04-30
21383492,radar geophysical survey,雷达地球物理调查,113.05.22,2025-11-13
21383493,raft foundation,筏基；筏式基础,113.05.22,2025-11-13
21383494,Rankine state of stress,朗金应力状态,113.05.22,2025-11-13
21383495,reconnaissance,初勘；踏勘,114.07.31,2025-11-13
21383496,reinforced concrete pile,钢筋混凝土桩,113.05.22,2025-11-13
21383497,reinforced earth,加劲土,113.05.22,2025-11-13
21383498,reinforcement cage,钢筋笼,113.09.10,2025-11-13
21383499,relative density test,相对密度试验,113.05.22,2025-11-13
21383500,reliability,可靠度,113.05.22,2026-04-30
21383501,remolded sample,重模样本,113.05.22,2025-11-13
21383502,residual strength,残余强度,113.05.22,2025-11-13
21383503,retaining pile,挡土桩,113.04.19,2025-11-13
21383504,retaining wall,挡土墙,113.04.19,2025-11-13
21383505,Richter scale,芮氏规模,114.05.21,2025-11-13
21383506,rigid foundation,刚性基础,113.05.22,2025-11-13
21383507,rigid-plastic model,刚塑性模型,113.05.22,2025-11-13
21383508,rock blasting,岩石爆破,113.08.22,2025-11-13
21383509,rock dentition,岩缝补隙,114.02.04,2025-11-13
21383510,rockfill dam,堆石坝,114.05.21,2025-11-13
21383511,rolling compaction,滚压夯实；碾压夯实,113.11.26,2025-11-13
21383512,saline soil,盐渍土,113.05.22,2025-11-13
21383513,salty soil,盐渍土,113.05.22,2025-11-13
21383514,sample,样本,113.05.22,2025-11-13
21383515,sampling,取样,113.05.22,2025-11-13
21383516,sand,砂,113.05.22,2025-11-13
21383517,sand drain,砂井,113.05.22,2025-11-13
21383518,sand pile,砂桩,113.05.22,2025-11-13
21383519,sandy silt,砂质粉土,113.05.22,2025-11-13
21383520,saturated collapse,湿陷,113.11.26,2026-04-30
21383521,saturated density,饱和密度,113.04.25,2025-11-13
21383522,secondary consolidation,次要压密,113.05.22,2025-11-13
21383523,seepage failure,渗流破坏,113.05.22,2025-11-13
21383524,seepage force,渗流力,113.05.22,2025-11-13
21383525,seismic geophysical  exploration,震波地球物理探勘,113.05.22,2025-11-13
21383526,seismic wave,地震波；震波,114.05.21,2025-11-13
21383527,serviceability,服务性,113.05.22,2025-11-13
21383528,settlement,沉陷,113.05.22,2025-11-13
21383529,shallow foundation,浅基础,113.05.22,2025-11-13
21383530,shrinkage limit,缩性限度,113.05.22,2025-11-13
21383531,silicification,矽化作用,113.05.22,2025-11-13
21383532,silt,粉土,113.05.22,2025-11-13
21383533,silty clay,粉质黏土,113.05.22,2025-11-13
21383534,silty sand,粉质砂,113.05.22,2025-11-13
21383535,single footing,独立基脚,113.05.22,2025-11-13
21383536,slab foundation,版式基础,113.05.22,2025-11-13
21383537,slices method,切片法；圆弧切片分析法,113.10.22,2025-11-13
21383538,slip surface,滑动面,113.05.22,2025-11-13
21383539,sloughing,坍孔；沼泽化；垂流｛喷凝土｝；崩溃；崩塌,113.04.25,2026-04-30
21383540,soft clay,软黏土,113.05.22,2025-11-13
21383541,soil binder,土壤结合料,113.04.25,2025-11-13
21383542,soil exploration,土壤探勘；土壤探查,113.05.22,2025-11-13
21383543,soil investigation,土壤调查,113.05.22,2025-11-13
21383544,soil profile,土壤剖面,113.05.22,2025-11-13
21383545,solid density,固体密度,113.04.25,2025-11-13
21383546,specimen,试体；试样,113.05.22,2025-11-13
21383547,spread foundation,扩展式基础,113.05.22,2025-11-13
21383548,state of plastic equilibrium,塑性平衡状态,113.05.22,2025-11-13
21383549,static loading test,静载重试验,114.02.04,2025-11-13
21383550,steady flow,稳定流,113.04.25,2025-11-13
21383551,strain softening,应变软化,113.05.22,2025-11-13
21383552,strain-controlled test,应变控制试验,113.04.25,2025-11-13
21383553,stress-controlled test,应力控制试验,113.04.25,2025-11-13
21383554,strip footing,条形基脚,113.04.19,2025-11-13
21383555,submerged density,浸水密度；浸没密度,113.04.25,2025-11-13
21383556,substratum,基底层,113.05.22,2025-11-13
21383557,suction,吸力,113.05.22,2025-11-13
21383558,sump well,集水井,113.11.26,2025-11-13
21383559,superimposed load,外加载重,113.05.22,2025-11-13
21383560,surface casing,表层套管,113.04.25,2025-11-13
21383561,surface dry density,面干密度,113.04.25,2026-04-30
21383562,survey,测量；调查 {普查},114.07.31,2025-11-13
21383563,swelling pressure,膨胀压力,113.05.22,2025-11-13
21383564,swelling soil,回胀性土壤,113.04.19,2025-11-13
21383565,telemetry,遥测术,113.07.11,2026-04-30
21383566,texture,纹理；组构,113.04.25,2025-11-13
21383567,timber pile,木桩,113.05.22,2025-11-13
21383568,time factor,时间因数；时间因子,113.04.25,2025-11-13
21383569,total density,总密度,113.04.25,2025-11-13
21383570,total stress,总应力,113.05.22,2025-11-13
21383571,triaxial shear test,三轴剪力试验,113.05.22,2025-11-13
21383572,true triaxial test apparatus,真三轴试验仪,114.01.13,2025-11-13
21383573,tubular column foundation,管柱基础,113.04.19,2025-11-13
21383574,ultimate bearing capacity,极限承载力,113.05.22,2025-11-13
21383575,unconfined compression test,无围压缩试验,113.05.22,2025-11-13
21383576,unconfined compressive strength,无围压缩强度,113.04.25,2025-11-13
21383577,unconsolidated-undrained test (UU test),不压密不排水试验,113.04.25,2025-11-13
21383578,underlying stratum,下伏层,113.05.22,2025-11-13
21383579,underpinning method,托底工法,113.05.22,2025-11-13
21383580,undisturbed soil sample,未扰动土样,113.05.22,2025-11-13
21383581,uniaxial compressive strength,单轴压缩强度,113.04.25,2025-11-13
21383582,vacuum preloading,真空预压,113.05.22,2025-11-13
21383583,vibrating roller,振动滚压机,113.11.26,2025-11-13
21383584,vibro-densification,振动密实,113.05.22,2025-11-13
21383585,vibroflotation,振冲压实工法；振动扬实法,113.05.22,2025-11-13
21383586,viscoelastic behavior,黏弹行为,113.05.22,2025-11-13
21383587,void ratio,孔隙比,113.05.22,2025-11-13
21383588,volcanic ash,火山灰,113.05.22,2025-11-13
21383589,water density,水密度,113.04.25,2025-11-13
21383590,wave velocity survey,波速调查,113.05.22,2025-11-13
21383591,wet density,湿密度,113.04.25,2025-11-13
21383593,environmental impact assessment (EIA),环境影响评估,114.06.23,2025-11-13
21383594,epoxy coating,环氧树脂涂层,114.06.23,2025-11-13
21383595,equipressure line,等压线,114.06.23,2025-11-13
21383596,failure loading,破坏荷载,114.07.31,2025-11-13
21383597,finite difference method (FDM),有限差分法,114.08.22,2025-11-13
